time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
550981640,0,217,217,156,213,217,196,155,3.07,2.24,129.20,0.10,-0.11,1.00,-0.06,1.10,-0.24,-6.28,-5.66,-6.55,,,0
551118416,0,218,217,156,213,217,196,154,-2.19,-1.89,129.03,0.10,-0.11,1.00,0.12,-0.31,-0.12,-6.32,-5.60,-6.55,,,0
551218412,0,218,217,156,213,217,196,152,-2.19,-1.89,130.90,0.10,-0.11,1.00,0.43,-0.67,-0.12,-6.31,-5.66,-6.55,,,0
551318412,0,218,219,156,213,217,196,154,3.07,2.24,135.49,0.10,-0.11,1.00,0.37,0.00,-0.12,-6.27,-5.69,-6.55,,,0
551418412,0,218,218,156,213,217,197,157,3.07,2.24,136.17,0.10,-0.11,1.00,0.06,0.43,-0.06,-6.27,-5.67,-6.55,,,0
551518420,0,218,218,156,213,217,196,155,-2.19,-1.89,136.17,0.10,-0.11,1.00,-0.12,0.31,-0.06,-6.30,-5.64,-6.55,,,0
551618420,0,218,218,156,213,217,196,144,-2.19,-1.89,137.36,0.10,-0.11,1.00,0.37,-0.24,-0.06,-6.28,-5.63,-6.55,,,0
551718420,0,218,218,157,214,217,197,150,-2.19,-1.89,136.17,0.10,-0.11,1.00,0.24,-0.61,0.00,-6.26,-5.67,-6.55,,,0
551818416,0,218,218,156,213,217,196,158,3.07,2.24,136.17,0.10,-0.11,1.00,-0.24,-0.06,-0.06,-6.27,-5.71,-6.55,,,0
551918408,0,218,218,156,213,217,196,158,-0.08,-0.37,137.19,0.10,-0.11,1.00,0.12,0.49,-0.18,-6.28,-5.69,-6.55,,,0
552018412,0,218,218,156,213,217,196,148,2.02,1.82,136.17,0.10,-0.11,1.00,0.06,0.49,-0.18,-6.27,-5.64,-6.55,,,0
552118416,0,218,218,156,214,217,196,153,-2.19,-1.89,136.17,0.10,-0.11,1.00,-0.12,0.00,-0.06,-6.27,-5.61,-6.55,,,0
552218412,0,218,218,156,213,218,197,159,-0.08,-0.37,137.19,0.10,-0.11,1.00,0.06,-0.43,-0.06,-6.28,-5.63,-6.55,,,0
552318420,0,218,218,157,213,217,196,151,2.02,1.82,135.66,0.10,-0.11,1.00,0.24,-0.31,0.00,-6.27,-5.67,-6.55,,,0
552418420,0,218,218,156,214,217,197,154,-2.19,-1.89,136.17,0.10,-0.11,1.00,0.06,0.00,0.00,-6.26,-5.69,-6.55,,,0
552518416,0,218,219,156,214,217,196,155,2.02,1.82,136.17,0.10,-0.11,1.00,-0.06,0.24,-0.06,-6.27,-5.67,-6.55,,,0
552618408,0,218,218,157,215,217,196,152,-2.19,-1.89,136.17,0.10,-0.11,1.00,0.06,0.12,-0.06,-6.27,-5.65,-6.55,,,0
552718420,0,218,218,156,213,217,197,158,2.02,1.82,136.17,0.10,-0.11,1.00,0.12,-0.43,0.06,-6.27,-5.66,-6.55,,,0
552818416,0,218,219,156,214,217,196,157,-0.08,-0.37,136.17,0.10,-0.11,1.00,0.06,-0.24,0.06,-6.26,-5.70,-6.55,,,0
552918420,0,218,218,156,214,218,198,152,-2.19,-1.89,136.17,0.10,-0.11,1.00,0.00,0.12,0.00,-6.27,-5.70,-6.55,,,0
553018420,0,218,218,157,214,218,197,154,-0.08,-0.37,136.17,0.10,-0.11,1.00,0.06,0.06,0.00,-6.27,-5.69,-6.55,,,0
553118408,0,219,219,156,214,218,197,155,2.02,1.82,136.34,0.10,-0.11,1.00,0.06,-0.06,0.00,-6.27,-5.69,-6.55,,,0
553218408,0,218,218,156,214,218,197,157,-2.19,-1.89,136.17,0.10,-0.11,1.00,-0.12,-0.12,0.00,-6.27,-5.70,-6.55,,,0
553318420,0,219,219,157,214,218,196,158,-2.19,-1.89,136.68,0.10,-0.11,1.00,0.06,-0.06,-0.06,-6.28,-5.71,-6.55,,,0
553418420,0,219,219,157,214,218,197,155,2.02,1.82,136.17,0.10,-0.11,1.00,0.12,0.00,0.00,-6.28,-5.71,-6.55,,,0
553518412,0,219,218,157,215,217,197,149,-2.19,-1.89,136.17,0.10,-0.11,1.00,-0.12,-0.06,0.06,-6.28,-5.71,-6.55,,,0
553618408,0,218,218,156,214,218,197,148,-0.08,-0.37,136.17,0.10,-0.11,1.00,-0.12,0.24,-0.06,-6.30,-5.70,-6.55,,,0
553718416,0,219,219,157,214,218,197,152,-2.19,-1.89,135.66,0.10,-0.11,1.00,0.12,0.43,-0.12,-6.31,-5.67,-6.55,,,0
553818412,0,219,218,157,215,218,197,153,3.07,2.24,136.17,0.10,-0.11,1.00,0.00,-0.24,0.00,-6.30,-5.65,-6.55,,,0
553918416,0,220,219,157,213,218,197,149,-0.08,-0.37,137.19,0.10,-0.11,1.00,-0.12,-0.24,0.00,-6.31,-5.68,-6.55,,,0
554018412,0,219,219,157,215,218,197,157,-0.08,-0.37,136.17,0.10,-0.11,1.00,0.12,0.37,-0.06,-6.32,-5.69,-6.55,,,0
554118420,0,219,219,157,214,218,198,155,2.02,1.82,134.47,0.10,-0.11,1.00,0.06,0.24,0.06,-6.31,-5.65,-6.55,,,0
554218412,0,219,218,156,214,218,197,151,6.23,3.19,132.94,0.10,-0.11,1.00,-0.06,-0.31,0.06,-6.31,-5.66,-6.55,,,0
554318416,0,219,219,157,214,218,197,153,-2.19,-1.89,134.47,0.10,-0.11,1.00,0.06,-0.12,0.00,-6.32,-5.67,-6.55,,,0
554418420,0,218,219,157,215,219,198,154,2.02,1.82,128.01,0.10,-0.11,1.00,0.00,0.00,0.00,-6.31,-5.69,-6.55,,,0
554518412,0,220,219,157,215,219,198,157,-2.19,-1.89,131.07,0.10,-0.11,1.00,0.00,0.00,-0.06,-6.31,-5.68,-6.55,,,0
554618416,0,218,219,157,214,218,197,160,2.02,1.82,130.05,0.10,-0.11,1.00,0.00,-0.06,-0.06,-6.31,-5.69,-6.55,,,0
554718416,0,219,219,158,214,218,197,156,-3.24,-2.30,129.88,0.10,-0.11,1.00,0.00,-0.06,0.00,-6.31,-5.69,-6.55,,,0
554818420,0,216,219,157,214,218,198,156,2.02,1.82,130.05,0.10,-0.11,1.00,0.00,0.06,0.00,-6.31,-5.69,-6.55,,,0
554918412,0,217,219,157,215,218,197,154,-2.19,-1.89,130.05,0.10,-0.11,1.00,0.00,0.06,0.00,-6.31,-5.67,-6.55,,,0
555018420,0,214,217,158,215,219,197,155,2.02,1.82,127.84,0.10,-0.11,1.00,0.00,0.00,0.00,-6.32,-5.67,-6.55,,,0
555118420,0,216,219,157,215,218,198,154,-0.08,-0.37,128.18,0.10,-0.11,1.00,0.00,-0.06,0.00,-6.32,-5.67,-6.55,,,0
555218412,0,214,216,157,215,219,198,151,3.07,2.24,128.18,0.10,-0.11,1.00,0.00,0.06,0.00,-6.32,-5.67,-6.55,,,0
555318416,0,214,218,157,214,219,198,149,3.07,2.24,129.03,0.10,-0.11,1.00,0.06,0.00,0.00,-6.32,-5.66,-6.55,,,0
555418412,0,213,216,157,215,219,198,149,3.07,2.24,127.33,0.10,-0.11,1.00,0.06,-0.06,0.00,-6.32,-5.67,-6.55,,,0
555518412,0,213,216,156,215,219,197,153,-0.08,-0.37,131.24,0.10,-0.11,1.00,0.00,0.00,0.00,-6.31,-5.67,-6.55,,,0
555618408,0,213,215,156,215,218,198,151,-0.08,-0.37,136.17,0.10,-0.11,1.00,-0.06,0.00,0.00,-6.31,-5.67,-6.55,,,0
