time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
798148612,0,210,213,154,215,222,199,149,-3.24,-2.30,115.94,0.12,-0.09,0.99,0.00,0.06,0.00,-5.07,-6.97,-11.27,,,0
798294488,0,210,213,153,214,220,199,148,2.02,1.82,115.94,0.12,-0.09,0.99,0.12,0.00,0.00,-5.06,-6.98,-11.27,,,0
798394500,0,211,213,154,215,220,200,156,3.07,2.24,120.19,0.12,-0.09,0.99,0.00,0.00,0.00,-5.05,-6.98,-11.27,,,0
798494500,0,210,213,154,215,220,199,147,-0.08,-0.37,121.21,0.12,-0.09,0.99,-0.06,0.00,0.00,-5.06,-6.98,-11.27,,,0
798594488,0,210,213,154,215,221,199,148,-2.19,-1.89,120.19,0.12,-0.09,0.99,0.06,0.06,0.00,-5.06,-6.98,-11.27,,,0
798694500,0,209,213,153,214,220,200,150,-2.19,-1.89,120.02,0.12,-0.09,0.99,0.12,0.00,-0.06,-5.05,-6.98,-11.27,,,0
798794500,0,209,212,153,214,221,199,147,-0.08,-0.37,120.19,0.12,-0.09,0.99,-0.06,0.06,0.00,-5.05,-6.98,-11.27,,,0
798894496,0,209,212,152,214,221,199,150,2.02,1.82,117.47,0.12,-0.09,0.99,-0.12,0.06,0.00,-5.06,-6.97,-11.27,,,0
798994496,0,209,212,152,214,221,201,151,2.02,1.82,114.75,0.12,-0.09,0.99,-0.06,0.06,0.00,-5.08,-6.97,-11.27,,,0
799094504,0,209,212,153,213,221,199,154,-2.19,-1.89,114.07,0.12,-0.09,0.99,0.12,0.06,-0.06,-5.07,-6.97,-11.27,,,0
799194488,0,207,211,151,213,220,200,157,-0.08,-0.37,113.05,0.12,-0.09,0.99,0.18,0.00,-0.06,-5.05,-6.97,-11.27,,,0
799294492,0,207,211,151,212,220,199,147,-0.08,-0.37,114.92,0.12,-0.09,0.99,-0.12,0.06,0.00,-5.05,-6.97,-11.27,,,0
799394492,0,207,210,151,212,219,201,156,-2.19,-1.89,114.75,0.12,-0.09,0.99,-0.24,0.06,0.00,-5.07,-6.97,-11.27,,,0
799494496,0,206,209,150,210,218,200,148,-5.34,-2.95,113.90,0.12,-0.09,0.99,0.00,0.00,-0.06,-5.08,-6.97,-11.27,,,0
799594488,0,206,210,151,212,218,200,154,2.02,1.82,115.77,0.12,-0.09,0.99,0.12,0.00,-0.06,-5.07,-6.97,-11.27,,,0
799694500,0,205,207,148,211,217,199,152,-0.08,-0.37,113.05,0.12,-0.09,0.99,0.12,0.00,0.00,-5.05,-6.97,-11.27,,,0
799794488,0,205,207,148,210,216,199,153,-3.24,-2.30,108.80,0.12,-0.09,0.99,-0.18,0.06,0.06,-5.06,-6.97,-11.27,,,0
799894500,0,205,207,147,209,216,198,154,-5.34,-2.95,114.07,0.12,-0.09,0.99,-0.24,0.06,0.00,-5.08,-6.97,-11.27,,,0
799994492,0,203,207,147,208,216,198,152,-0.08,-0.37,113.05,0.12,-0.09,0.99,0.06,0.00,0.00,-5.09,-6.97,-11.27,,,0
800094492,0,203,207,147,209,216,198,153,-2.19,-1.89,113.05,0.12,-0.09,0.99,0.24,0.00,-0.06,-5.08,-6.97,-11.27,,,0
800194492,0,202,206,147,207,215,197,154,-3.24,-2.30,115.77,0.12,-0.09,0.99,0.12,0.00,0.00,-5.05,-6.97,-11.27,,,0
800294496,0,202,205,146,207,214,198,161,2.02,1.82,119.17,0.12,-0.09,0.99,-0.06,0.00,0.00,-5.05,-6.97,-11.27,,,0
800394492,0,202,205,145,207,214,196,153,-0.08,-0.37,119.17,0.12,-0.09,0.99,-0.12,0.06,0.00,-5.05,-6.97,-11.27,,,0
800494492,0,200,204,145,206,213,195,152,2.02,1.82,121.21,0.12,-0.09,0.99,0.06,0.00,0.00,-5.06,-6.97,-11.27,,,0
800594488,0,201,205,145,206,213,195,163,-0.08,-0.37,120.02,0.12,-0.09,0.99,0.12,0.00,-0.06,-5.05,-6.98,-11.27,,,0
