time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
767888736,0,214,213,154,209,213,193,148,-2.19,-1.89,115.94,0.12,-0.09,0.99,0.06,0.00,0.00,-5.06,-6.97,-11.27,,,0
768032032,0,214,213,153,209,213,193,155,2.02,1.82,115.94,0.12,-0.09,0.99,0.00,0.06,0.00,-5.06,-6.97,-11.27,,,0
768132028,0,214,214,153,209,213,194,143,-3.24,-2.30,116.96,0.12,-0.09,0.99,-0.12,0.06,0.00,-5.07,-6.97,-11.27,,,0
768232020,0,214,214,154,209,213,193,160,-3.24,-2.30,112.37,0.12,-0.09,0.99,0.06,0.00,0.00,-5.08,-6.97,-11.27,,,0
768332028,0,214,213,154,209,213,192,153,-2.19,-1.89,112.71,0.12,-0.09,0.99,0.18,0.00,-0.06,-5.06,-6.97,-11.27,,,0
768432028,0,213,213,154,209,213,193,150,-0.08,-0.37,111.69,0.12,-0.09,0.99,0.12,0.00,0.00,-5.05,-6.97,-11.27,,,0
768532032,0,213,214,154,209,213,192,145,2.02,1.82,109.65,0.12,-0.09,0.99,0.06,0.00,0.00,-5.04,-6.97,-11.27,,,0
768632036,0,213,213,153,209,213,193,152,-3.24,-2.30,108.80,0.12,-0.09,0.99,-0.06,0.06,0.00,-5.04,-6.97,-11.27,,,0
768732024,0,214,214,154,209,213,192,156,-2.19,-1.89,112.54,0.12,-0.09,0.99,0.00,0.00,0.00,-5.05,-6.97,-11.27,,,0
768832020,0,214,214,154,209,213,193,156,-2.19,-1.89,110.67,0.12,-0.09,0.99,0.06,0.00,0.00,-5.05,-6.98,-11.27,,,0
768932028,0,214,214,153,209,213,193,156,-5.34,-2.95,108.80,0.12,-0.09,0.99,0.00,0.00,0.00,-5.04,-6.98,-11.27,,,0
769032020,0,214,214,154,209,213,193,152,-2.19,-1.89,108.80,0.12,-0.09,0.99,-0.12,0.00,0.00,-5.04,-6.98,-11.27,,,0
769132020,0,214,214,154,209,213,192,150,-0.08,-0.37,108.80,0.12,-0.09,0.99,-0.18,0.06,0.00,-5.05,-6.97,-11.27,,,0
769232024,0,214,214,154,209,213,193,151,-0.08,-0.37,109.82,0.12,-0.09,0.99,-0.12,0.00,0.06,-5.07,-6.97,-11.27,,,0
769332032,0,215,214,154,209,214,193,146,-0.08,-0.37,108.63,0.12,-0.09,0.99,0.06,0.00,0.00,-5.07,-6.97,-11.27,,,0
769432024,0,214,214,154,210,214,193,156,3.07,2.24,111.35,0.12,-0.09,0.99,0.00,0.00,0.00,-5.06,-6.97,-11.27,,,0
769532020,0,214,214,155,210,214,193,149,-2.19,-1.89,111.52,0.12,-0.09,0.99,-0.06,0.00,-0.06,-5.06,-6.97,-11.27,,,0
769632024,0,214,214,154,210,213,193,151,-5.34,-2.95,111.35,0.12,-0.09,0.99,0.06,0.00,0.00,-5.06,-6.97,-11.27,,,0
769732020,0,214,214,154,210,214,193,152,-3.24,-2.30,115.94,0.12,-0.09,0.99,0.00,0.00,0.00,-5.05,-6.98,-11.27,,,0
769832028,0,214,214,154,211,214,193,159,2.02,1.82,116.96,0.12,-0.09,0.99,-0.06,0.00,0.00,-5.06,-6.97,-11.27,,,0
769932020,0,214,214,154,210,214,193,149,-2.19,-1.89,115.94,0.12,-0.09,0.99,-0.06,0.00,0.00,-5.06,-6.97,-11.27,,,0
770032020,0,214,214,154,210,214,193,147,-3.24,-2.30,115.94,0.12,-0.09,0.99,0.06,0.00,0.00,-5.06,-6.97,-11.27,,,0
770132024,0,215,214,154,210,214,193,159,-2.19,-1.89,116.96,0.12,-0.09,0.99,0.12,0.00,0.00,-5.05,-6.97,-11.27,,,0
770232020,0,214,214,155,210,215,193,150,-0.08,-0.37,115.77,0.12,-0.09,0.99,0.00,0.06,0.00,-5.05,-6.97,-11.27,,,0
770332032,0,214,214,154,211,214,193,158,-2.19,-1.89,115.94,0.12,-0.09,0.99,-0.12,0.06,0.00,-5.05,-6.97,-11.27,,,0
