time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
374744076,0,215,217,137,211,214,194,147,3.07,2.24,270.81,0.06,-0.12,1.01,-0.98,-0.12,0.12,-6.60,-3.59,-7.59,,,0
374872588,0,215,215,137,210,215,194,146,-0.08,-0.37,258.91,0.06,-0.12,1.00,0.73,0.73,-0.06,-6.61,-3.55,-7.59,,,0
374972584,0,214,213,136,209,213,192,150,-0.08,-0.37,260.78,0.06,-0.12,1.01,0.98,0.06,-0.12,-6.51,-3.54,-7.59,,,0
375072596,0,215,215,137,210,213,193,146,3.07,2.24,264.18,0.06,-0.12,1.01,-0.24,-0.12,-0.06,-6.51,-3.53,-7.59,,,0
375172588,0,216,216,137,212,215,194,147,2.02,1.82,133.96,0.06,-0.12,1.01,2.32,1.34,0.00,-6.47,-3.50,-7.59,,,0
375272592,0,212,212,133,208,211,191,150,-2.19,-1.89,258.91,0.06,-0.12,1.01,-0.61,-0.43,-0.24,-6.34,-3.39,-7.59,,,0
375372584,0,208,208,129,204,207,187,154,3.07,2.24,330.82,0.06,-0.12,1.00,-1.16,-0.73,0.18,-6.43,-3.47,-7.59,,,0
375472584,0,206,207,127,202,206,185,154,5.18,2.91,267.92,0.06,-0.12,1.01,-1.10,-0.43,-0.31,-6.55,-3.52,-7.59,,,0
375572588,0,205,204,126,200,204,183,147,3.07,2.24,431.63,0.06,-0.12,1.00,-0.49,0.61,0.37,-6.60,-3.52,-7.59,,,0
375672596,0,205,204,127,200,204,183,147,3.07,2.24,674.22,0.06,-0.12,1.01,-1.95,-0.37,1.16,-6.67,-3.48,-7.59,,,0
375772588,0,209,209,130,204,209,188,150,2.02,1.82,167.45,0.07,-0.12,1.01,-4.52,-0.12,2.08,-7.00,-3.50,-7.43,,,0
375872588,0,209,209,130,206,208,189,153,-0.08,-0.37,147.56,0.06,-0.14,1.00,-4.94,2.38,2.32,-7.49,-3.41,-7.22,,,0
375972584,0,208,208,129,205,207,187,151,2.02,1.82,139.91,0.05,-0.14,1.01,-3.54,2.87,1.77,-7.97,-3.11,-7.04,,,0
376072588,0,208,208,129,204,208,187,148,-0.08,-0.37,156.06,0.05,-0.15,1.00,-1.83,0.92,1.28,-8.27,-2.87,-6.91,,,0
376172596,0,209,208,130,204,209,187,160,2.02,1.82,130.22,0.05,-0.15,1.01,1.16,-0.67,0.55,-8.34,-2.85,-6.81,,,0
376272592,0,208,208,129,204,207,187,151,-2.19,-1.89,124.95,0.05,-0.15,1.01,3.30,-1.59,-0.18,-8.17,-2.93,-6.78,,,0
376372584,0,208,208,129,203,208,187,152,-0.08,-0.37,124.27,0.06,-0.14,1.01,3.72,-2.01,-0.55,-7.80,-3.16,-6.78,,,0
376472596,0,206,206,127,201,206,185,151,-0.08,-0.37,128.86,0.06,-0.13,1.01,3.11,-0.79,-0.12,-7.39,-3.28,-6.81,,,0
376572584,0,205,205,125,201,204,184,151,3.07,2.24,127.84,0.06,-0.13,1.01,0.98,-1.28,0.85,-7.14,-3.36,-6.77,,,0
376672596,0,203,203,125,198,203,181,158,5.18,2.91,124.27,0.07,-0.13,1.00,-1.65,-0.79,1.16,-7.11,-3.49,-6.64,,,0
376772592,0,203,203,124,199,203,182,156,2.02,1.82,137.87,0.06,-0.13,1.00,-1.95,0.67,-0.06,-7.27,-3.47,-6.57,,,0
376872584,0,204,204,125,199,203,182,159,6.23,3.19,133.28,0.07,-0.13,1.00,-2.20,-0.92,-1.71,-7.44,-3.54,-6.62,,,0
376972588,0,203,203,125,199,203,182,149,2.02,1.82,134.47,0.06,-0.13,1.01,-2.08,3.23,-1.89,-7.59,-3.48,-6.82,,,0
377072588,0,205,207,128,203,206,186,151,-0.08,-0.37,133.11,0.05,-0.14,1.01,-2.87,7.51,-1.95,-7.77,-3.00,-7.08,,,0
