time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
324467724,0,208,208,129,203,207,186,162,2.02,1.82,181.39,0.11,-0.15,1.00,-0.18,0.00,-0.12,-8.47,-6.39,-6.06,,,0
324596252,0,208,208,129,203,207,187,156,-0.08,-0.37,181.22,0.11,-0.15,0.99,0.12,0.61,0.06,-8.48,-6.42,-6.05,,,0
324696248,0,208,208,130,204,208,186,167,2.02,1.82,177.14,0.11,-0.15,1.00,0.24,-0.55,0.12,-8.45,-6.41,-6.05,,,0
324796252,0,208,208,130,203,207,187,154,3.07,2.24,177.14,0.11,-0.15,1.00,-0.06,0.24,0.00,-8.44,-6.40,-6.04,,,0
324896240,0,205,208,129,204,207,187,162,-0.08,-0.37,177.14,0.11,-0.15,0.99,-0.24,-0.12,0.00,-8.46,-6.42,-6.04,,,0
324996252,0,208,208,130,203,207,187,158,-0.08,-0.37,181.39,0.11,-0.15,1.00,0.12,-0.31,0.00,-8.47,-6.40,-6.04,,,0
325096240,0,208,208,130,203,208,187,151,-0.08,-0.37,181.22,0.11,-0.15,1.00,0.31,0.31,0.12,-8.45,-6.41,-6.03,,,0
325196244,0,208,208,130,204,207,189,153,5.18,2.91,181.22,0.11,-0.15,1.00,-0.06,-0.31,0.12,-8.44,-6.40,-6.03,,,0
325296252,0,208,209,130,204,208,187,156,-2.19,-1.89,177.14,0.11,-0.15,1.00,-0.12,0.00,0.00,-8.45,-6.40,-6.03,,,0
325396252,0,208,208,130,204,207,187,158,3.07,2.24,172.89,0.11,-0.15,0.99,0.06,0.06,0.00,-8.46,-6.41,-6.03,,,0
325496244,0,208,208,129,204,207,187,157,-0.08,-0.37,174.42,0.11,-0.15,1.00,0.12,-0.24,0.12,-8.45,-6.40,-6.03,,,0
325596248,0,208,209,129,204,208,187,151,-0.08,-0.37,175.95,0.11,-0.15,1.00,0.00,0.12,0.06,-8.44,-6.40,-6.03,,,0
325696252,0,209,208,130,204,208,187,157,-0.08,-0.37,161.67,0.11,-0.15,1.00,-0.24,-0.18,0.06,-8.45,-6.40,-6.03,,,0
325796252,0,208,209,129,204,208,187,153,3.07,2.24,167.28,0.11,-0.15,1.00,-0.06,-0.12,0.00,-8.46,-6.40,-6.03,,,0
325896244,0,209,206,129,204,208,187,155,3.07,2.24,172.55,0.11,-0.15,1.00,0.18,0.12,0.06,-8.46,-6.41,-6.03,,,0
325996256,0,208,208,130,205,208,187,157,-3.24,-2.30,168.30,0.11,-0.15,1.00,0.12,-0.12,0.06,-8.44,-6.39,-6.03,,,0
326096240,0,209,208,130,203,208,187,152,2.02,1.82,168.13,0.11,-0.15,1.00,-0.06,0.00,0.00,-8.44,-6.39,-6.03,,,0
326196240,0,209,208,130,204,208,187,155,-0.08,-0.37,192.27,0.11,-0.15,0.99,-0.12,-0.06,0.00,-8.45,-6.40,-6.03,,,0
326296244,0,209,208,130,204,207,188,163,-0.08,-0.37,174.76,0.11,-0.15,1.00,0.06,-0.12,0.06,-8.46,-6.40,-6.03,,,0
326396240,0,210,209,131,204,208,188,159,-0.08,-0.37,154.19,0.11,-0.15,1.00,0.18,0.06,0.00,-8.44,-6.40,-6.03,,,0
326496248,0,209,209,130,204,208,187,163,-0.08,-0.37,145.69,0.11,-0.15,1.00,0.06,-0.06,0.06,-8.43,-6.40,-6.03,,,0
326596240,0,209,209,131,204,210,187,156,-0.08,-0.37,166.43,0.11,-0.15,1.00,-0.06,-0.06,0.06,-8.43,-6.39,-6.03,,,0
326696244,0,209,209,130,204,208,188,154,3.07,2.24,167.28,0.11,-0.15,1.00,-0.12,-0.06,0.06,-8.44,-6.40,-6.03,,,0
326796252,0,209,208,130,204,209,187,158,-0.08,-0.37,174.08,0.11,-0.15,1.00,0.12,-0.06,0.00,-8.44,-6.39,-6.03,,,0
326896244,0,209,209,130,204,208,187,159,2.02,1.82,199.24,0.11,-0.15,1.00,0.06,0.00,0.06,-8.43,-6.39,-6.03,,,0
326996256,0,209,209,130,204,208,187,163,2.02,1.82,175.27,0.11,-0.15,1.00,-0.06,0.06,0.00,-8.44,-6.39,-6.03,,,0
327096244,0,209,209,130,204,209,188,155,-0.08,-0.37,181.39,0.11,-0.15,1.00,0.00,-0.12,0.06,-8.44,-6.39,-6.03,,,0
327196248,0,209,209,130,204,208,187,154,-2.19,-1.89,204.85,0.11,-0.15,1.00,0.12,0.00,0.06,-8.44,-6.39,-6.03,,,0
327296252,0,209,209,130,204,208,187,161,3.07,2.24,168.13,0.11,-0.15,1.00,0.06,0.00,0.00,-8.43,-6.39,-6.03,,,0
327396248,0,210,209,130,205,209,188,157,2.02,1.82,163.88,0.11,-0.15,1.00,-0.06,-0.06,0.00,-8.44,-6.39,-6.03,,,0
327496252,0,209,209,130,206,208,188,153,3.07,2.24,164.05,0.11,-0.15,1.00,0.06,0.00,0.00,-8.44,-6.39,-6.03,,,0
327596244,0,210,208,130,204,208,187,163,-0.08,-0.37,244.46,0.11,-0.15,1.00,0.12,0.00,0.06,-8.44,-6.39,-6.03,,,0
327696248,0,209,209,130,205,208,188,164,2.02,1.82,168.13,0.11,-0.15,1.00,0.06,-0.06,0.06,-8.43,-6.39,-6.03,,,0
327796248,0,209,209,130,205,208,188,154,-2.19,-1.89,177.14,0.11,-0.15,1.00,-0.06,0.00,0.00,-8.43,-6.39,-6.03,,,0
327896252,0,210,209,131,205,208,188,156,-0.08,-0.37,177.14,0.12,-0.15,0.99,-0.31,-1.95,-0.37,-8.46,-6.47,-6.03,,,0
327996252,0,210,210,131,205,209,188,151,8.33,3.69,185.64,0.10,-0.15,1.00,0.00,0.18,0.37,-8.45,-6.41,-6.03,,,0
328096248,0,210,209,130,204,209,188,154,2.02,1.82,185.47,0.13,-0.15,0.98,0.85,4.39,0.06,-8.45,-6.58,-6.03,,,0
328196252,0,210,210,131,206,210,187,160,-0.08,-0.37,177.14,0.12,-0.15,0.99,0.67,-0.06,0.06,-8.45,-6.48,-6.03,,,0
328296240,0,210,209,131,205,209,188,153,5.18,2.91,177.14,0.11,-0.15,1.00,-0.18,-1.89,-0.24,-8.43,-6.37,-6.03,,,0
328396244,0,209,209,130,205,208,188,158,3.07,2.24,168.64,0.11,-0.15,1.00,-0.06,0.43,0.12,-8.46,-6.50,-6.03,,,0
328496240,0,209,210,130,205,209,188,170,3.07,2.24,172.89,0.11,-0.15,1.00,-0.37,-0.43,-0.55,-8.46,-6.49,-6.03,,,0
328596252,0,210,209,131,204,209,188,163,2.02,1.82,176.29,0.12,-0.15,0.99,-0.49,-0.37,-0.67,-8.46,-6.61,-6.03,,,0
328696244,0,210,210,131,205,209,188,151,-0.08,-0.37,168.81,0.11,-0.15,1.00,-0.18,0.06,-0.18,-8.49,-6.62,-6.03,,,0
328796252,0,210,209,131,205,209,188,162,-0.08,-0.37,177.14,0.11,-0.15,1.00,0.67,1.53,0.12,-8.48,-6.53,-6.03,,,0
328896244,0,210,209,131,205,209,188,155,-0.08,-0.37,180.20,0.13,-0.15,0.99,0.49,-0.12,0.31,-8.44,-6.60,-6.03,,,0
328996260,0,210,209,131,205,209,188,146,2.02,1.82,168.81,0.10,-0.15,1.00,-0.49,-1.22,-0.98,-8.42,-6.49,-6.03,,,0
329096252,0,210,210,130,205,209,188,158,2.02,1.82,172.89,0.11,-0.15,1.00,-1.28,0.24,-0.24,-8.42,-6.56,-6.10,,,0
329196252,0,210,209,131,205,209,188,159,3.07,2.24,169.32,0.11,-0.15,1.00,0.49,0.18,-0.61,-8.48,-6.63,-6.14,,,0
329296240,0,210,209,131,205,209,188,158,-0.08,-0.37,168.64,0.11,-0.14,1.00,0.92,0.31,-0.06,-8.45,-6.58,-6.19,,,0
329396260,0,210,209,131,205,209,188,154,3.07,2.24,181.22,0.11,-0.14,1.00,0.79,0.79,-0.85,-8.41,-6.55,-6.23,,,0
