time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
707286032,0,205,205,148,201,205,186,153,-0.08,-0.37,116.62,0.13,-0.09,0.99,3.60,-0.61,-3.23,-5.69,-7.01,-11.12,,,0
707426572,0,206,205,148,200,205,185,147,-0.08,-0.37,119.17,0.12,-0.08,0.99,1.53,-0.92,0.18,-5.22,-7.05,-11.35,,,0
707526576,0,205,205,148,201,205,186,159,3.07,2.24,116.96,0.12,-0.08,0.99,-0.67,-0.24,0.92,-5.20,-7.04,-11.27,,,0
707626580,0,205,205,148,201,205,184,152,2.02,1.82,115.94,0.12,-0.09,1.00,-1.28,0.31,-0.06,-5.33,-7.01,-11.23,,,0
707726572,0,205,205,148,201,205,185,149,-2.19,-1.89,115.94,0.12,-0.09,0.99,-0.61,0.18,0.12,-5.39,-7.00,-11.24,,,0
707826572,0,206,205,148,201,205,185,153,8.33,3.69,116.96,0.12,-0.09,0.99,0.92,-0.12,-0.24,-5.35,-7.01,-11.24,,,0
707926572,0,206,205,149,201,205,185,153,-2.19,-1.89,115.94,0.12,-0.09,0.99,0.43,0.00,-0.06,-5.25,-7.02,-11.27,,,0
708026580,0,206,206,149,201,205,185,151,-3.24,-2.30,115.94,0.12,-0.09,0.99,-0.67,0.18,0.06,-5.22,-7.02,-11.26,,,0
708126584,0,205,205,149,201,205,185,155,3.07,2.24,116.96,0.12,-0.09,0.99,-0.79,0.12,0.12,-5.27,-7.00,-11.26,,,0
708226580,0,206,206,148,201,205,185,150,2.02,1.82,115.94,0.12,-0.09,0.99,-0.31,0.06,0.00,-5.34,-6.98,-11.25,,,0
708326572,0,206,205,149,202,205,185,147,2.02,1.82,115.94,0.12,-0.09,0.99,0.24,0.00,-0.06,-5.32,-6.99,-11.26,,,0
708426584,0,205,206,148,202,205,185,146,-3.24,-2.30,116.96,0.12,-0.09,0.99,0.43,-0.06,-0.12,-5.26,-6.99,-11.27,,,0
708526584,0,205,206,148,201,205,186,147,3.07,2.24,115.77,0.12,-0.09,0.99,-0.24,0.00,0.00,-5.22,-6.99,-11.27,,,0
708626576,0,206,205,148,201,205,185,155,3.07,2.24,115.94,0.12,-0.09,0.99,-0.55,0.12,0.06,-5.24,-6.99,-11.27,,,0
708726580,0,206,206,148,201,205,186,154,3.07,2.24,115.94,0.12,-0.09,0.99,-0.12,0.00,-0.06,-5.27,-6.98,-11.27,,,0
708826572,0,206,206,148,201,205,187,159,2.02,1.82,115.94,0.12,-0.09,0.99,0.31,0.00,-0.06,-5.26,-6.98,-11.27,,,0
708926576,0,207,206,149,201,205,185,147,5.18,2.91,116.96,0.12,-0.09,0.99,0.12,0.00,-0.06,-5.21,-6.98,-11.27,,,0
709026572,0,206,205,148,202,205,185,150,-3.24,-2.30,115.94,0.12,-0.09,0.99,-0.24,0.06,0.00,-5.20,-6.98,-11.27,,,0
709126584,0,206,207,148,201,205,186,155,-2.19,-1.89,115.94,0.12,-0.09,0.99,-0.37,0.06,0.06,-5.22,-6.98,-11.27,,,0
709226580,0,205,206,149,202,205,185,154,2.02,1.82,116.96,0.12,-0.09,0.99,-0.06,0.06,0.00,-5.23,-6.97,-11.27,,,0
709326580,0,206,205,149,201,205,185,148,-0.08,-0.37,115.94,0.12,-0.09,0.99,0.31,0.00,-0.06,-5.22,-6.97,-11.27,,,0
709426584,0,206,206,148,201,205,185,146,2.02,1.82,115.94,0.12,-0.09,0.99,0.18,0.00,0.00,-5.19,-6.98,-11.27,,,0
709526576,0,206,206,148,202,206,185,149,3.07,2.24,116.96,0.12,-0.09,0.99,-0.12,0.06,0.00,-5.16,-6.98,-11.27,,,0
709626580,0,206,206,148,203,205,186,152,-2.19,-1.89,115.77,0.12,-0.09,0.99,-0.06,0.06,0.00,-5.17,-6.97,-11.27,,,0
709726580,0,205,206,149,201,206,186,147,3.07,2.24,115.94,0.12,-0.09,0.99,0.12,0.00,-0.06,-5.16,-6.97,-11.27,,,0
709826572,0,205,206,148,202,206,186,151,-2.19,-1.89,116.96,0.12,-0.09,0.99,0.12,0.00,-0.06,-5.14,-6.97,-11.27,,,0
709926572,0,205,206,148,202,206,185,150,-2.19,-1.89,115.77,0.12,-0.09,0.99,0.00,0.06,0.00,-5.13,-6.97,-11.27,,,0
710026584,0,206,206,150,201,206,185,149,2.02,1.82,111.52,0.12,-0.09,0.99,-0.24,0.06,0.00,-5.14,-6.97,-11.27,,,0
710126584,0,206,206,148,201,206,185,155,3.07,2.24,116.96,0.12,-0.09,0.99,-0.06,0.06,0.00,-5.15,-6.97,-11.27,,,0
710226580,0,206,206,148,202,207,186,155,2.02,1.82,115.94,0.12,-0.09,0.99,0.31,-0.06,-0.12,-5.14,-6.97,-11.27,,,0
710326572,0,206,206,149,202,205,186,154,5.18,2.91,115.77,0.12,-0.09,0.99,0.31,0.00,-0.06,-5.09,-6.97,-11.27,,,0
710426572,0,206,206,149,202,206,186,150,-0.08,-0.37,113.39,0.12,-0.09,0.99,-0.06,0.00,0.00,-5.08,-6.98,-11.27,,,0
710526580,0,206,206,149,202,206,186,151,2.02,1.82,110.84,0.12,-0.09,0.99,-0.31,0.06,0.00,-5.09,-6.97,-11.27,,,0
710626580,0,206,206,149,203,205,186,150,3.07,2.24,109.31,0.12,-0.09,0.99,-0.18,0.06,0.00,-5.12,-6.97,-11.27,,,0
710726572,0,206,206,149,203,206,186,159,3.07,2.24,111.52,0.12,-0.09,0.99,0.00,0.06,-0.06,-5.13,-6.96,-11.27,,,0
710826572,0,207,206,149,202,206,186,146,2.02,1.82,110.50,0.12,-0.09,0.99,0.00,0.00,0.00,-5.13,-6.96,-11.27,,,0
710926572,0,206,206,149,202,206,186,150,-2.19,-1.89,111.18,0.12,-0.09,0.99,0.00,0.00,0.06,-5.13,-6.96,-11.27,,,0
711026580,0,207,206,149,202,206,186,148,3.07,2.24,109.82,0.12,-0.09,0.99,0.06,0.00,0.00,-5.12,-6.96,-11.27,,,0
711126576,0,207,207,149,202,206,186,152,-0.08,-0.37,108.80,0.12,-0.09,0.99,0.06,0.00,0.00,-5.11,-6.96,-11.27,,,0
711226584,0,207,207,148,203,207,186,150,3.07,2.24,109.65,0.12,-0.09,0.99,0.06,0.06,0.00,-5.11,-6.96,-11.27,,,0
711326580,0,207,207,149,202,206,186,153,2.02,1.82,108.80,0.12,-0.09,0.99,0.00,0.00,0.00,-5.11,-6.96,-11.27,,,0
711426576,0,208,207,148,203,208,186,153,3.07,2.24,108.80,0.12,-0.09,0.99,0.00,0.06,-0.06,-5.11,-6.96,-11.27,,,0
711526580,0,206,207,149,202,206,186,151,2.02,1.82,116.96,0.12,-0.09,0.99,0.00,0.06,0.00,-5.11,-6.95,-11.27,,,0
711626572,0,207,206,149,202,206,186,147,-0.08,-0.37,110.50,0.12,-0.09,0.99,0.00,0.06,0.00,-5.11,-6.96,-11.27,,,0
711726584,0,207,207,149,202,207,186,153,-0.08,-0.37,113.22,0.12,-0.09,0.99,0.00,0.06,0.00,-5.10,-6.95,-11.27,,,0
711826584,0,207,207,149,202,206,186,151,3.07,2.24,115.94,0.12,-0.09,0.99,-0.18,0.06,0.00,-5.11,-6.95,-11.27,,,0
