time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
591340552,0,212,212,152,208,212,192,157,3.07,2.24,142.97,0.12,-0.10,0.99,-1.65,0.24,0.24,-5.82,-6.64,-7.64,,,0
591477728,0,212,212,152,208,212,192,159,2.02,1.82,142.80,0.12,-0.10,0.99,1.04,-0.73,-0.12,-5.95,-6.64,-7.64,,,0
591577736,0,212,212,153,208,212,192,150,6.23,3.19,155.38,0.11,-0.10,1.00,0.24,0.12,-0.12,-5.93,-6.65,-7.64,,,0
591677728,0,212,212,152,208,212,192,157,5.18,2.91,147.05,0.11,-0.10,1.00,-0.24,0.37,0.31,-5.83,-6.66,-7.62,,,0
591777736,0,213,213,152,209,211,191,155,2.02,1.82,138.55,0.12,-0.10,0.99,-0.24,-0.24,0.06,-5.88,-6.68,-7.60,,,0
591877736,0,213,212,153,208,212,192,149,2.02,1.82,157.08,0.12,-0.11,0.99,0.06,-0.37,-0.12,-5.89,-6.66,-7.61,,,0
591977740,0,213,212,152,208,212,192,154,-0.08,-0.37,141.78,0.11,-0.10,1.00,0.79,-0.12,0.06,-5.86,-6.64,-7.63,,,0
592077740,0,213,212,154,208,212,192,153,6.23,3.19,151.64,0.12,-0.11,0.99,0.00,0.12,-0.06,-5.88,-6.70,-7.62,,,0
592177728,0,213,212,153,208,212,191,156,-0.08,-0.37,151.64,0.12,-0.10,0.99,0.43,-0.55,-0.06,-5.87,-6.70,-7.65,,,0
592277736,0,214,212,152,208,212,191,147,3.07,2.24,157.76,0.12,-0.11,0.99,1.10,-0.73,0.18,-5.87,-6.73,-7.65,,,0
592377732,0,213,212,152,208,212,192,152,5.18,2.91,147.56,0.11,-0.11,1.00,0.79,-0.98,0.12,-5.88,-6.70,-7.65,,,0
592477740,0,212,213,153,208,212,192,155,-0.08,-0.37,143.65,0.12,-0.10,0.99,1.59,-1.16,0.18,-5.84,-6.74,-7.65,,,0
592577732,0,214,213,153,208,212,192,155,-0.08,-0.37,148.41,0.12,-0.10,0.99,0.49,-0.18,-0.24,-5.77,-6.77,-7.65,,,0
592677728,0,213,214,153,208,212,193,148,-0.08,-0.37,136.17,0.12,-0.10,1.00,-1.10,0.49,-0.18,-5.82,-6.73,-7.65,,,0
592777740,0,213,213,153,208,212,191,151,10.44,4.13,142.29,0.12,-0.11,0.99,-1.28,0.24,-0.12,-5.97,-6.73,-7.65,,,0
592877728,0,213,214,154,208,213,191,147,3.07,2.24,142.29,0.12,-0.10,0.99,0.31,0.92,-0.24,-6.00,-6.66,-7.65,,,0
