time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
500625408,0,208,210,134,213,217,196,148,-2.19,-1.89,109.48,0.06,-0.13,1.01,-1.16,1.28,2.01,-7.40,-3.59,-5.06,,,0
500759492,0,206,210,133,211,217,196,153,-2.19,-1.89,110.33,0.07,-0.14,1.00,-0.67,-0.37,0.73,-7.59,-3.54,-4.86,,,0
500859496,0,208,209,135,213,217,195,152,-8.50,-3.73,115.26,0.06,-0.14,1.00,0.61,-0.37,-0.79,-7.56,-3.55,-4.86,,,0
500959492,0,205,208,131,210,215,194,156,-2.19,-1.89,121.38,0.06,-0.13,1.00,2.20,0.43,-0.12,-7.43,-3.54,-4.92,,,0
501059496,0,205,208,131,210,215,194,154,-2.19,-1.89,125.29,0.07,-0.13,1.00,1.10,-0.85,-0.18,-7.30,-3.60,-4.94,,,0
501159488,0,204,207,130,209,215,194,155,-2.19,-1.89,124.27,0.06,-0.12,1.01,0.06,-1.10,0.37,-7.23,-3.59,-4.93,,,0
501259488,0,205,207,131,209,215,194,154,-0.08,-0.37,124.27,0.06,-0.13,1.00,-0.43,0.18,0.24,-7.24,-3.66,-4.88,,,0
501359496,0,203,207,129,208,215,194,156,-5.34,-2.95,129.54,0.06,-0.13,1.00,0.00,-0.12,0.24,-7.25,-3.64,-4.88,,,0
501459488,0,204,207,130,209,215,194,157,2.02,1.82,136.34,0.06,-0.14,1.01,0.67,0.31,-0.43,-7.19,-3.63,-4.89,,,0
501559492,0,204,208,130,209,215,194,155,-3.24,-2.30,148.92,0.07,-0.13,1.00,2.32,-1.53,-0.85,-7.04,-3.75,-4.93,,,0
501659500,0,205,208,131,209,216,194,152,-0.08,-0.37,149.94,0.07,-0.12,1.00,2.69,-0.61,-1.71,-6.86,-3.89,-5.05,,,0
501759488,0,204,207,129,208,216,194,155,-2.19,-1.89,149.43,0.06,-0.10,1.00,-1.65,1.28,-2.26,-6.69,-3.74,-5.26,,,0
501859496,0,205,208,131,209,216,195,154,-0.08,-0.37,157.93,0.06,-0.12,1.01,-2.44,-2.50,-1.89,-6.69,-3.78,-5.42,,,0
501959492,0,204,207,129,208,215,194,155,-2.19,-1.89,163.03,0.07,-0.11,1.00,-1.04,0.37,-1.28,-6.74,-3.99,-5.55,,,0
502059496,0,203,207,129,208,215,195,149,-0.08,-0.37,157.76,0.07,-0.12,1.01,0.43,-0.98,0.37,-6.80,-3.93,-5.62,,,0
502159488,0,203,206,130,207,214,195,148,-2.19,-1.89,153.68,0.07,-0.11,1.00,0.37,1.22,0.73,-6.82,-3.93,-5.56,,,0
502259492,0,204,207,130,209,216,196,163,-8.50,-3.73,157.93,0.07,-0.11,1.00,-0.55,-0.73,0.18,-6.76,-3.88,-5.52,,,0
502359488,0,203,206,129,207,214,196,157,-2.19,-1.89,153.68,0.07,-0.13,1.01,-0.49,0.37,-0.24,-6.73,-3.88,-5.50,,,0
502459492,0,203,205,129,206,214,196,155,2.02,1.82,149.43,0.07,-0.12,1.00,-0.12,0.24,0.24,-6.76,-3.85,-5.52,,,0
502559488,0,202,205,128,206,213,196,149,-2.19,-1.89,149.43,0.07,-0.12,1.00,1.16,-0.55,0.61,-6.80,-3.86,-5.48,,,0
502659500,0,203,206,130,207,215,196,159,-2.19,-1.89,157.76,0.06,-0.12,1.00,0.49,0.61,-0.24,-6.77,-3.83,-5.48,,,0
502759496,0,201,204,128,206,213,195,155,2.02,1.82,153.68,0.07,-0.12,1.00,0.31,-0.31,0.18,-6.73,-3.82,-5.47,,,0
502859488,0,201,204,128,206,212,195,150,-2.19,-1.89,153.68,0.07,-0.12,1.00,-0.31,0.31,0.12,-6.73,-3.83,-5.45,,,0
502959488,0,200,203,126,204,211,194,155,-2.19,-1.89,153.68,0.07,-0.12,1.00,0.18,-0.12,0.00,-6.75,-3.81,-5.44,,,0
503059492,0,200,203,126,205,212,194,146,-2.19,-1.89,149.43,0.07,-0.12,1.00,0.06,-0.37,0.31,-6.77,-3.82,-5.44,,,0
503159492,0,199,202,125,204,211,193,159,2.02,1.82,145.18,0.07,-0.12,1.00,-0.12,0.37,0.55,-6.80,-3.83,-5.44,,,0
503259500,0,200,203,126,205,211,193,150,-8.50,-3.73,145.18,0.07,-0.12,1.00,-0.18,-0.37,0.06,-6.82,-3.81,-5.44,,,0
503359512,0,199,202,125,204,211,193,151,-2.19,-1.89,136.85,0.06,-0.12,1.01,-0.67,0.55,0.67,-6.84,-3.79,-5.44,,,0
503459504,0,199,203,125,205,211,193,160,-2.19,-1.89,132.60,0.07,-0.12,1.00,-0.85,1.28,1.22,-6.93,-3.80,-5.37,,,0
503559488,0,199,201,126,202,210,191,160,-5.34,-2.95,136.85,0.07,-0.12,1.00,-0.06,-0.98,0.55,-7.02,-3.72,-5.27,,,0
