time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
1288721416,0,205,206,149,201,204,285,104,173.51,16.83,35.19,-0.10,-0.13,1.01,1.34,1.40,-19.04,-7.80,2.41,-41.09,,,0
1288885228,0,206,206,150,201,204,285,35,176.66,16.98,37.06,-0.10,-0.12,1.02,-0.49,1.71,-18.49,-7.76,2.87,-44.31,,,0
1288985232,0,206,205,151,202,204,285,72,177.72,17.03,37.74,-0.11,-0.12,1.02,-0.31,-0.43,-18.01,-7.78,3.01,-46.14,,,0
1289085228,0,206,206,153,202,203,285,78,176.66,16.98,34.00,-0.11,-0.13,1.02,0.00,-1.83,-17.58,-7.79,2.97,-47.89,,,0
1289185244,0,205,205,154,201,203,285,40,177.72,17.03,35.87,-0.11,-0.13,1.01,-0.18,-1.77,-17.15,-7.81,2.85,-49.60,,,0
1289285232,0,205,205,155,201,203,284,49,187.19,17.48,29.92,-0.11,-0.13,1.02,-0.37,-0.98,-16.85,-7.86,2.80,-51.27,,,0
1289385232,0,206,205,155,201,202,285,81,179.82,17.13,36.21,-0.10,-0.12,1.02,0.31,0.18,-16.54,-7.88,2.84,-52.92,,,0
1289485232,0,206,206,156,201,202,285,40,177.72,17.03,32.81,-0.10,-0.13,1.02,0.55,1.34,-16.30,-7.84,3.00,-54.55,,,0
1289585228,0,206,205,156,201,201,285,52,176.66,16.98,35.19,-0.11,-0.13,1.02,0.06,1.34,-16.05,-7.83,3.20,-56.17,,,0
1289685240,0,206,206,156,202,202,285,85,177.72,17.03,35.87,-0.11,-0.12,1.02,0.37,0.43,-15.81,-7.84,3.33,-57.76,,,0
1289785240,0,206,206,154,201,204,286,68,184.03,17.33,34.00,-0.11,-0.13,1.02,0.24,-0.12,-15.50,-7.82,3.37,-59.32,,,0
1289885236,0,206,206,152,201,204,286,96,176.66,16.98,31.45,-0.11,-0.13,1.02,-0.55,-0.49,-15.14,-7.84,3.39,-60.84,,,0
1289985240,0,206,207,150,202,204,286,38,177.72,17.03,31.62,-0.11,-0.12,1.02,-0.31,-1.22,-15.08,-7.89,3.35,-62.33,,,0
1290085228,0,206,206,150,202,205,286,92,177.72,17.03,37.23,-0.11,-0.13,1.02,0.24,-1.53,-14.89,-7.88,3.27,-63.64,,,0
1290185228,0,206,207,149,202,205,287,87,176.66,16.98,35.87,-0.11,-0.13,1.01,-0.06,-0.06,-14.59,-7.87,3.25,-65.10,,,0
1290285228,0,206,206,149,202,206,286,44,177.72,17.03,29.24,-0.11,-0.13,1.02,-0.43,1.65,-14.34,-7.91,3.39,-66.54,,,0
1290385228,0,206,206,149,202,205,286,69,177.72,17.03,37.06,-0.11,-0.13,1.02,-0.31,2.26,-14.22,-7.97,3.64,-67.98,,,0
1290485228,0,206,206,148,202,206,285,92,184.03,17.33,36.04,-0.11,-0.13,1.02,0.37,1.10,-14.04,-7.98,3.85,-69.42,,,0
1290585240,0,206,206,149,202,205,286,58,185.08,17.38,37.57,-0.11,-0.12,1.02,0.98,-1.22,-13.98,-7.91,3.87,-70.81,,,0
1290685240,0,207,206,149,202,206,286,35,179.82,17.13,37.06,-0.11,-0.12,1.02,1.04,-2.01,-13.55,-7.79,3.73,-72.16,,,0
1290785232,0,206,206,148,201,205,286,74,184.03,17.33,33.49,-0.11,-0.13,1.01,0.24,-0.92,-13.12,-7.72,3.63,-73.46,,,0
1290885240,0,206,206,149,202,206,286,81,184.03,17.33,37.74,-0.11,-0.13,1.01,-0.73,0.12,-13.06,-7.77,3.64,-74.75,,,0
1290985240,0,206,206,149,202,206,286,72,179.82,17.13,32.98,-0.11,-0.13,1.01,-0.85,0.79,-12.88,-7.89,3.75,-76.05,,,0
1291085232,0,206,206,148,202,205,286,49,179.82,17.13,36.38,-0.11,-0.13,1.02,0.12,0.73,-12.82,-7.94,3.87,-77.34,,,0
1291185236,0,206,206,150,202,206,286,77,176.66,16.98,35.87,-0.11,-0.12,1.02,0.73,0.43,-12.45,-7.90,3.95,-78.61,,,0
1291285240,0,206,206,148,202,206,286,62,185.08,17.38,32.47,-0.11,-0.12,1.03,0.85,-0.18,-12.15,-7.82,4.00,-79.84,,,0
1291385244,0,206,206,149,202,206,286,60,184.03,17.33,34.00,-0.11,-0.13,1.02,0.06,-1.04,-12.02,-7.76,3.98,-81.03,,,0
1291485240,0,206,206,148,202,206,286,60,177.72,17.03,33.49,-0.11,-0.13,1.01,-0.61,-0.85,-11.78,-7.81,3.92,-82.19,,,0
1291585240,0,207,207,149,202,206,286,71,185.08,17.38,36.04,-0.11,-0.13,1.01,-0.37,0.49,-11.60,-7.86,3.95,-83.35,,,0
1291685232,0,206,207,149,202,206,287,66,179.82,17.13,32.81,-0.11,-0.13,1.02,0.06,1.40,-11.23,-7.89,4.10,-84.50,,,0
1291785232,0,207,206,149,202,206,286,68,179.82,17.13,37.06,-0.11,-0.13,1.03,0.37,0.92,-11.05,-7.88,4.25,-85.62,,,0
1291885236,0,207,207,149,202,206,286,59,184.03,17.33,36.04,-0.11,-0.12,1.02,-0.18,-0.37,-10.86,-7.87,4.30,-86.71,,,0
