time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
213744652,0,199,199,124,194,199,179,147,-0.08,-0.37,128.18,0.04,-0.12,1.01,0.00,-0.24,-0.18,-6.90,-2.37,-8.19,,,0
213875312,0,200,200,126,195,200,180,148,3.07,2.24,127.16,0.04,-0.12,1.01,-0.55,0.67,0.18,-6.92,-2.38,-8.18,,,0
213975300,0,200,200,126,196,200,180,153,-0.08,-0.37,127.16,0.04,-0.12,1.01,-0.31,-0.67,0.06,-6.92,-2.36,-8.17,,,0
214075308,0,201,201,126,196,201,180,157,-0.08,-0.37,124.10,0.05,-0.12,1.01,1.16,-0.31,0.18,-6.96,-2.38,-8.15,,,0
214175312,0,201,201,126,197,201,180,152,2.02,1.82,127.16,0.04,-0.12,1.01,1.16,0.06,-0.06,-6.91,-2.33,-8.17,,,0
214275304,0,200,201,126,196,200,180,157,6.23,3.19,123.08,0.04,-0.12,1.01,0.61,0.18,0.18,-6.83,-2.37,-8.17,,,0
214375300,0,200,200,126,196,199,180,149,5.18,2.91,128.35,0.04,-0.11,1.01,0.00,-0.12,-0.06,-6.78,-2.32,-8.17,,,0
214475308,0,201,201,127,197,201,181,144,-0.08,-0.37,131.41,0.04,-0.11,1.01,-0.67,-0.43,-0.06,-6.82,-2.34,-8.17,,,0
214575304,0,202,202,127,197,201,181,157,2.02,1.82,131.41,0.04,-0.12,1.01,-0.67,-0.31,0.43,-6.92,-2.41,-8.17,,,0
214675308,0,207,210,132,212,219,199,148,-0.08,-0.37,128.18,0.04,-0.12,1.01,0.24,-0.18,-0.24,-6.95,-2.40,-8.17,,,0
214775300,0,205,208,131,210,217,198,154,-2.19,-1.89,127.33,0.05,-0.13,1.01,1.04,0.31,-0.18,-6.97,-2.44,-8.17,,,0
214875304,0,202,205,128,207,214,196,153,-2.19,-1.89,123.08,0.04,-0.11,1.01,0.31,0.18,-0.43,-6.77,-2.33,-8.17,,,0
214975312,0,201,205,127,206,213,196,156,2.02,1.82,128.86,0.04,-0.12,1.01,-1.46,-0.49,0.55,-6.79,-2.36,-8.17,,,0
215075312,0,202,205,128,207,214,196,155,-0.08,-0.37,127.84,0.04,-0.12,1.01,-1.77,-1.10,-0.06,-6.92,-2.37,-8.17,,,0
215175308,0,202,205,128,206,214,195,151,-0.08,-0.37,127.84,0.04,-0.12,1.01,0.79,0.55,0.31,-7.06,-2.44,-8.17,,,0
215275308,0,201,205,128,206,213,196,151,2.02,1.82,128.18,0.05,-0.12,1.01,0.92,0.12,0.06,-7.05,-2.44,-8.17,,,0
215375312,0,201,204,127,206,213,196,156,2.02,1.82,123.08,0.04,-0.11,1.01,1.59,1.34,0.06,-6.93,-2.35,-8.17,,,0
215475308,0,201,204,128,206,213,196,148,-0.08,-0.37,127.16,0.04,-0.11,1.01,0.18,-0.49,0.43,-6.87,-2.35,-8.17,,,0
215575316,0,200,203,126,205,212,194,151,-0.08,-0.37,124.61,0.04,-0.11,1.01,-0.61,-0.61,0.61,-6.92,-2.34,-8.17,,,0
215675300,0,199,202,125,203,211,193,155,2.02,1.82,123.59,0.04,-0.12,1.01,-0.49,-0.12,-0.06,-7.08,-2.40,-8.17,,,0
215775304,0,199,202,126,204,211,193,165,3.07,2.24,127.84,0.04,-0.12,1.01,0.06,-0.12,0.18,-7.14,-2.41,-8.17,,,0
215875304,0,199,202,125,204,211,193,159,2.02,1.82,127.33,0.04,-0.12,1.01,1.28,0.24,0.18,-7.10,-2.40,-8.17,,,0
215975304,0,199,202,125,203,211,193,158,-0.08,-0.37,123.08,0.04,-0.12,1.01,0.92,0.37,-0.06,-6.98,-2.36,-8.17,,,0
216075320,0,199,203,126,204,211,194,148,3.07,2.24,131.41,0.04,-0.12,1.01,0.73,0.31,-0.06,-6.89,-2.34,-8.17,,,0
216175300,0,199,201,125,203,210,192,148,-0.08,-0.37,127.84,0.04,-0.12,1.01,-1.10,-0.73,-0.12,-6.88,-2.33,-8.17,,,0
216275312,0,197,201,125,203,209,192,150,6.23,3.19,123.59,0.04,-0.12,1.01,-0.24,0.24,-0.18,-6.95,-2.36,-8.17,,,0
216375304,0,197,200,125,202,209,191,161,-0.08,-0.37,128.01,0.04,-0.12,1.01,0.06,-0.18,-0.06,-6.97,-2.37,-8.17,,,0
216475312,0,197,201,125,203,209,192,156,2.02,1.82,128.69,0.04,-0.12,1.01,0.79,0.18,-0.12,-6.92,-2.36,-8.17,,,0
216575304,0,197,201,125,203,209,192,151,-0.08,-0.37,126.99,0.04,-0.12,1.01,0.98,0.37,-0.06,-6.83,-2.33,-8.17,,,0
216675308,0,198,200,125,201,209,191,155,3.07,2.24,120.70,0.04,-0.12,1.01,0.24,0.12,-0.06,-6.76,-2.31,-8.17,,,0
216775312,0,197,197,124,193,197,177,156,-0.08,-0.37,119.85,0.04,-0.12,1.01,-0.18,-0.31,-0.12,-6.75,-2.31,-8.17,,,0
216875308,0,200,200,125,195,199,180,155,-0.08,-0.37,117.47,0.04,-0.12,1.01,-0.37,0.06,0.06,-6.82,-2.33,-8.17,,,0
216975316,0,201,201,127,197,200,181,159,5.18,2.91,123.59,0.04,-0.12,1.01,-0.24,0.06,-0.12,-6.86,-2.34,-8.17,,,0
217075312,0,202,202,128,198,201,182,150,3.07,2.24,126.14,0.04,-0.12,1.01,0.37,-0.24,0.12,-6.86,-2.36,-8.17,,,0
217175316,0,203,204,128,198,203,183,153,2.02,1.82,114.92,0.04,-0.12,1.01,1.16,0.18,-0.31,-6.78,-2.32,-8.17,,,0
217275300,0,204,204,129,199,203,183,142,-2.19,-1.89,116.96,0.04,-0.12,1.01,1.10,0.61,0.00,-6.70,-2.29,-8.17,,,0
217375300,0,204,204,129,199,203,183,155,5.18,2.91,119.68,0.04,-0.12,1.01,-0.18,0.06,0.00,-6.67,-2.27,-8.17,,,0
217475300,0,204,204,129,199,203,183,145,-0.08,-0.37,119.85,0.04,-0.12,1.01,-1.10,-1.10,0.06,-6.73,-2.28,-8.17,,,0
217575304,0,204,204,129,199,203,183,151,3.07,2.24,120.19,0.04,-0.12,1.01,0.00,0.31,0.00,-6.82,-2.34,-8.17,,,0
217675300,0,204,204,129,200,202,183,154,3.07,2.24,117.47,0.04,-0.12,1.01,0.43,0.18,0.00,-6.82,-2.35,-8.17,,,0
217775308,0,204,204,129,199,202,183,155,8.33,3.69,120.36,0.04,-0.12,1.01,0.12,0.00,-0.31,-6.75,-2.31,-8.17,,,0
217875312,0,204,203,129,199,202,183,155,-0.08,-0.37,127.33,0.04,-0.12,1.01,-0.24,-0.24,0.24,-6.80,-2.34,-8.17,,,0
217975304,0,204,203,129,199,203,183,157,-3.24,-2.30,123.08,0.04,-0.12,1.01,-0.73,-0.18,-0.18,-6.84,-2.36,-8.17,,,0
218075300,0,203,203,128,199,202,182,154,-0.08,-0.37,122.91,0.04,-0.12,1.01,0.73,-0.06,-0.06,-6.87,-2.37,-8.17,,,0
218175300,0,203,203,128,199,202,182,153,3.07,2.24,122.91,0.04,-0.12,1.01,0.12,0.18,0.00,-6.82,-2.35,-8.17,,,0
218275300,0,203,203,128,198,202,182,150,3.07,2.24,127.16,0.04,-0.12,1.01,-0.79,-0.37,0.00,-6.82,-2.35,-8.17,,,0
218375304,0,203,203,128,199,202,182,152,2.02,1.82,123.08,0.04,-0.12,1.01,-0.61,-0.31,0.06,-6.91,-2.38,-8.17,,,0
218475304,0,202,203,127,198,202,182,156,3.07,2.24,123.08,0.04,-0.12,1.01,0.24,0.00,-0.06,-6.94,-2.40,-8.17,,,0
218575300,0,202,202,127,197,201,180,149,-0.08,-0.37,123.08,0.04,-0.12,1.01,0.85,0.31,-0.06,-6.87,-2.36,-8.17,,,0
218675300,0,200,200,125,196,199,180,154,3.07,2.24,123.42,0.04,-0.12,1.01,-0.55,-0.24,-0.06,-6.82,-2.36,-8.17,,,0
