time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
1339395068,0,205,207,183,280,227,315,8191,343.94,23.70,nan,-0.21,-0.13,0.72,-25.02,27.77,22.52,-20.43,-14.57,-128.79,,,0
1339559304,0,206,207,178,279,231,316,8191,342.89,23.66,nan,-0.25,-0.37,0.40,-12.76,73.30,23.93,-22.28,-1.18,-128.47,,,0
1339659312,0,217,222,183,279,234,321,8191,339.74,23.55,nan,-0.16,-0.08,0.86,58.59,85.45,28.02,-17.02,8.89,-129.16,,,0
1339759300,0,219,238,183,269,228,317,8191,281.87,21.45,nan,-0.36,-0.10,0.65,96.98,67.20,71.17,-7.27,18.13,-126.34,,,0
1339859304,0,222,246,178,258,219,317,66,121.96,14.11,nan,-0.96,-0.05,1.79,73.73,-127.38,137.82,5.32,17.66,-115.40,,,0
1339959316,0,224,249,179,250,213,316,53,141.95,15.22,nan,-1.29,0.58,1.33,16.78,-41.99,92.41,11.35,4.98,-104.96,,,0
1340059304,0,228,257,177,243,205,315,73,127.22,14.41,nan,-0.49,0.36,0.95,-7.51,-2.38,79.10,12.29,2.00,-96.77,,,0
1340159304,0,231,263,175,240,196,313,50,133.53,14.77,nan,-0.36,0.16,0.95,6.65,8.91,73.00,12.96,0.60,-89.27,,,0
1340259312,0,233,266,170,235,191,312,46,113.54,13.62,nan,-0.32,0.16,1.04,14.53,16.24,67.99,14.17,0.26,-82.08,,,0
1340359312,0,235,267,170,230,186,306,8,71.46,10.80,nan,-0.23,0.06,1.15,4.76,7.51,65.86,15.17,-0.05,-75.27,,,0
1340459308,0,236,267,167,227,181,309,44,73.56,10.96,nan,-0.21,-0.01,1.14,5.07,-6.77,62.07,15.49,-1.74,-69.10,,,0
1340559312,0,236,267,167,226,177,306,79,71.46,10.80,nan,-0.17,-0.02,1.00,2.38,-11.17,59.45,13.97,-2.99,-63.45,,,0
1340659304,0,233,267,162,222,174,306,66,68.30,10.56,nan,-0.16,-0.05,0.94,4.70,-3.30,55.24,12.49,-3.78,-58.07,,,0
1340759312,0,234,265,162,222,175,306,78,76.72,11.19,nan,-0.14,-0.04,1.01,9.22,10.13,52.98,11.33,-3.28,-52.70,,,0
1340859308,0,235,265,163,224,181,305,85,76.72,11.19,nan,-0.11,-0.08,1.05,7.02,13.24,52.31,10.55,-2.21,-47.29,,,0
1340959308,0,235,265,163,224,188,309,71,76.72,11.19,nan,-0.09,-0.08,1.07,3.23,12.82,52.06,9.53,-1.13,-41.91,,,0
1341059312,0,234,264,163,226,197,311,82,79.87,11.42,nan,-0.09,-0.11,1.06,0.00,8.97,50.60,8.22,-0.27,-36.64,,,0
1341159312,0,231,262,164,226,206,311,68,76.72,11.19,nan,-0.10,-0.12,1.00,-2.93,5.98,50.29,6.73,0.34,-31.55,,,0
1341259304,0,229,260,163,224,209,309,87,83.03,11.64,nan,-0.10,-0.10,0.99,-2.44,3.11,51.94,5.17,0.82,-26.44,,,0
1341359304,0,227,257,162,223,217,310,75,83.03,11.64,nan,-0.11,-0.11,1.02,0.92,-1.34,53.16,4.05,1.02,-21.20,,,0
1341459312,0,223,254,160,219,217,306,84,88.29,12.01,nan,-0.11,-0.12,1.01,2.38,-5.31,52.49,3.30,0.89,-15.94,,,0
1341559308,0,222,252,159,217,216,305,64,88.29,12.01,nan,-0.11,-0.09,1.02,2.08,-9.58,51.51,2.65,0.47,-10.77,,,0
1341659312,0,220,251,157,217,216,304,70,80.93,11.49,nan,-0.11,-0.09,1.03,2.44,-10.13,49.38,2.11,-0.17,-5.75,,,0
1341759304,0,219,250,156,215,216,303,72,86.19,11.86,nan,-0.11,-0.10,1.00,2.50,-6.59,47.49,1.61,-0.53,-0.92,,,0
1341859300,0,219,250,156,214,217,303,77,91.45,12.22,nan,-0.11,-0.08,0.99,0.98,0.18,46.57,1.06,-0.39,3.76,,,0
1341959304,0,219,250,156,215,217,303,60,92.50,12.29,nan,-0.10,-0.08,1.01,1.83,9.03,46.57,0.63,0.53,8.41,,,0
1342059304,0,219,249,155,214,217,303,88,91.45,12.22,nan,-0.09,-0.10,1.04,2.38,12.70,47.24,0.41,2.00,13.11,,,0
1342159304,0,218,249,155,214,218,303,63,94.60,12.43,nan,-0.09,-0.13,1.05,2.14,9.58,47.42,0.24,3.33,17.86,,,0
1342259300,0,218,249,156,213,219,302,70,94.60,12.43,nan,-0.10,-0.14,1.04,-0.85,-0.85,46.39,-0.14,3.83,22.57,,,0
1342359308,0,220,250,159,215,221,301,82,99.86,12.77,nan,-0.11,-0.14,1.02,-2.50,-9.95,43.82,-0.79,3.41,27.08,,,0
1342459308,0,221,250,163,215,221,304,72,94.60,12.43,nan,-0.11,-0.11,1.01,-0.73,-12.02,40.53,-1.33,2.64,31.29,,,0
1342559308,0,221,251,171,215,227,306,80,92.50,12.29,nan,-0.10,-0.11,1.00,1.89,-6.04,38.64,-1.56,2.22,35.23,,,0
