time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
1380022268,0,223,244,159,215,234,198,65,71.46,10.80,nan,-0.10,-0.13,1.01,0.00,1.10,8.91,-6.02,6.06,17.08,,,0
1380189144,0,223,244,159,215,234,198,58,68.30,10.56,nan,-0.10,-0.12,1.02,1.22,4.09,8.42,-5.91,6.68,18.49,,,0
1380289132,0,222,244,158,215,234,198,58,60.94,9.97,nan,-0.10,-0.13,1.03,0.85,0.98,8.24,-5.81,6.93,19.30,,,0
1380389132,0,223,244,158,215,234,198,42,68.30,10.56,nan,-0.10,-0.12,1.02,0.18,-2.62,8.18,-5.76,6.82,20.13,,,0
1380489140,0,223,244,158,216,234,198,50,60.94,9.97,nan,-0.10,-0.12,1.02,-0.55,-3.36,7.93,-5.78,6.48,20.97,,,0
1380589132,0,223,244,157,215,234,198,74,69.35,10.64,nan,-0.10,-0.12,1.01,-0.92,-1.77,7.75,-5.87,6.23,21.78,,,0
1380689140,0,223,244,158,215,234,198,69,66.20,10.40,nan,-0.10,-0.13,1.01,-0.55,1.22,7.39,-5.98,6.27,22.53,,,0
1380789140,0,223,244,157,215,234,198,61,66.20,10.40,nan,-0.10,-0.13,1.02,0.18,3.11,7.14,-6.03,6.53,23.23,,,0
1380889140,0,223,244,157,215,234,198,57,69.35,10.64,nan,-0.10,-0.13,1.03,0.55,2.75,6.96,-6.02,6.80,23.90,,,0
1380989152,0,223,244,157,216,234,198,62,66.20,10.40,nan,-0.10,-0.13,1.03,0.06,0.43,7.02,-6.02,6.88,24.58,,,0
1381089136,0,223,244,157,215,234,198,54,71.46,10.80,nan,-0.10,-0.13,1.02,0.00,-2.38,6.77,-6.04,6.71,25.29,,,0
1381189140,0,223,244,158,215,234,198,56,63.04,10.15,nan,-0.10,-0.12,1.02,0.49,-3.66,6.35,-6.03,6.36,25.98,,,0
1381289132,0,222,244,158,215,234,198,62,65.14,10.31,nan,-0.10,-0.12,1.02,0.67,-1.95,6.04,-5.98,6.09,26.63,,,0
1381389144,0,221,245,158,216,234,199,57,63.04,10.15,nan,-0.10,-0.12,1.01,0.24,0.79,5.92,-5.95,6.09,27.22,,,0
1381489136,0,221,245,158,216,235,199,68,66.20,10.40,nan,-0.10,-0.12,1.02,-0.37,2.99,5.98,-5.98,6.29,27.75,,,0
1381589132,0,219,245,160,216,235,199,45,69.35,10.64,nan,-0.10,-0.13,1.02,-0.55,2.44,5.86,-6.05,6.57,28.31,,,0
1381689132,0,219,244,162,216,235,199,59,66.20,10.40,nan,-0.10,-0.13,1.02,-0.24,0.85,5.55,-6.13,6.72,28.86,,,0
1381789136,0,218,243,164,216,234,199,66,68.30,10.56,nan,-0.10,-0.13,1.02,0.18,-1.04,5.31,-6.18,6.68,29.40,,,0
1381889144,0,218,243,167,216,235,198,57,69.35,10.64,nan,-0.10,-0.13,1.02,0.49,-2.75,5.19,-6.18,6.47,29.95,,,0
1381989132,0,217,242,168,216,235,199,55,71.46,10.80,nan,-0.10,-0.13,1.03,0.49,-2.81,5.07,-6.17,6.16,30.50,,,0
1382089144,0,217,242,167,216,235,199,59,68.30,10.56,nan,-0.10,-0.13,1.03,0.37,-0.24,4.76,-6.15,5.99,31.01,,,0
1382189132,0,215,241,163,216,235,199,64,66.20,10.40,nan,-0.10,-0.12,1.02,0.37,2.38,4.27,-6.15,6.09,31.46,,,0
1382289144,0,216,241,161,216,235,199,64,69.35,10.64,nan,-0.10,-0.12,1.01,-0.18,2.69,4.39,-6.15,6.35,31.87,,,0
1382389132,0,215,240,158,216,235,199,50,69.35,10.64,nan,-0.10,-0.13,1.02,-0.24,1.53,4.33,-6.19,6.55,32.28,,,0
1382489144,0,214,240,157,217,235,199,63,71.46,10.80,nan,-0.11,-0.13,1.02,-0.31,0.06,4.15,-6.25,6.62,32.71,,,0
1382589140,0,213,239,155,216,235,199,68,73.56,10.96,nan,-0.11,-0.13,1.02,-0.18,-1.83,3.91,-6.32,6.53,33.12,,,0
1382689136,0,213,239,154,215,235,199,55,66.20,10.40,nan,-0.11,-0.13,1.01,0.37,-3.48,3.60,-6.35,6.26,33.52,,,0
1382789144,0,212,238,153,215,235,199,53,69.35,10.64,nan,-0.11,-0.13,1.02,0.18,-2.87,3.42,-6.36,5.93,33.91,,,0
