time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
540913676,0,203,203,146,199,203,183,153,2.02,1.82,128.86,0.10,-0.11,1.00,-0.55,1.16,-0.37,-6.47,-5.42,-6.17,,,0
541048224,0,203,203,146,198,202,184,153,-2.19,-1.89,127.84,0.09,-0.12,1.00,0.18,0.06,0.06,-6.50,-5.22,-6.17,,,0
541148220,0,203,203,146,199,203,183,158,-0.08,-0.37,132.09,0.09,-0.11,1.00,0.24,-1.28,-0.06,-6.51,-5.30,-6.17,,,0
541248220,0,203,203,146,199,202,183,151,3.07,2.24,123.59,0.10,-0.11,1.00,0.43,-0.67,0.00,-6.50,-5.43,-6.17,,,0
541348228,0,203,203,146,199,203,183,158,-0.08,-0.37,123.59,0.10,-0.12,1.00,-0.55,0.67,-0.12,-6.50,-5.44,-6.17,,,0
541448228,0,203,203,146,199,203,183,152,6.23,3.19,121.72,0.09,-0.11,1.00,-0.49,0.18,-0.24,-6.53,-5.38,-6.17,,,0
541548224,0,203,203,146,199,203,184,155,5.18,2.91,126.82,0.10,-0.11,1.00,0.79,-1.46,0.00,-6.55,-5.48,-6.17,,,0
541648224,0,203,203,146,200,203,183,152,5.18,2.91,124.95,0.10,-0.11,1.00,1.16,-1.28,0.06,-6.53,-5.60,-6.17,,,0
541748228,0,204,203,146,199,203,183,152,5.18,2.91,123.42,0.10,-0.10,1.00,1.04,-0.67,-0.37,-6.50,-5.71,-6.17,,,0
541848216,0,203,203,146,199,203,184,157,-0.08,-0.37,121.55,0.10,-0.11,1.00,0.00,-1.53,-0.43,-6.53,-5.77,-6.17,,,0
541948224,0,204,204,147,199,203,183,151,5.18,2.91,125.63,0.11,-0.11,1.00,0.67,-4.27,-0.43,-6.50,-6.16,-6.17,,,0
542048228,0,203,204,147,199,203,183,158,5.18,2.91,126.82,0.12,-0.11,0.99,0.18,1.46,-0.43,-6.49,-6.33,-6.17,,,0
542148216,0,204,204,147,200,203,184,158,-2.19,-1.89,120.36,0.11,-0.11,1.00,-1.04,2.14,-0.12,-6.49,-6.11,-6.17,,,0
542248224,0,205,204,147,200,204,184,162,2.02,1.82,123.93,0.10,-0.12,1.00,-0.98,2.38,-0.43,-6.55,-5.91,-6.17,,,0
542348220,0,204,204,148,200,204,183,157,5.18,2.91,124.44,0.10,-0.12,1.00,0.00,1.46,-0.43,-6.53,-5.70,-6.17,,,0
542448224,0,204,204,147,199,203,183,158,-0.08,-0.37,127.16,0.10,-0.12,1.00,-0.18,-0.18,0.06,-6.48,-5.64,-6.17,,,0
542548220,0,204,204,147,200,204,184,149,3.07,2.24,123.93,0.10,-0.11,1.00,0.18,2.32,0.31,-6.50,-5.57,-6.17,,,0
542648228,0,204,205,147,200,204,184,157,-0.08,-0.37,125.97,0.09,-0.11,1.00,0.61,3.05,0.31,-6.50,-5.32,-6.17,,,0
542748224,0,204,204,147,200,204,184,151,3.07,2.24,124.27,0.08,-0.12,1.00,-0.18,-1.59,0.18,-6.47,-5.11,-6.17,,,0
542848228,0,204,204,147,198,204,185,150,2.02,1.82,125.97,0.10,-0.12,1.00,-0.06,-5.25,-0.31,-6.52,-5.48,-6.17,,,0
542948228,0,204,205,147,200,204,185,155,-2.19,-1.89,133.11,0.11,-0.11,0.99,-0.18,-2.87,-0.61,-6.53,-5.93,-6.17,,,0
543048216,0,204,204,147,200,204,184,160,3.07,2.24,132.09,0.11,-0.11,0.99,0.37,2.56,0.06,-6.55,-6.08,-6.17,,,0
543148232,0,205,204,147,200,205,184,144,5.18,2.91,127.84,0.09,-0.12,1.00,0.31,6.35,0.43,-6.54,-5.61,-6.17,,,0
543248228,0,204,204,147,200,204,184,163,-2.19,-1.89,128.86,0.08,-0.11,1.01,0.79,2.44,0.18,-6.49,-5.06,-6.17,,,0
543348220,0,204,204,147,200,204,184,157,5.18,2.91,127.67,0.08,-0.11,1.00,-0.98,-2.26,-0.18,-6.43,-4.94,-6.17,,,0
543448220,0,204,204,147,199,204,184,157,2.02,1.82,123.59,0.10,-0.12,1.00,-0.73,-3.48,0.12,-6.50,-5.32,-6.17,,,0
543548224,0,204,204,147,200,204,184,156,-0.08,-0.37,133.11,0.10,-0.12,1.00,-0.85,0.12,0.06,-6.54,-5.53,-6.17,,,0
543648216,0,204,204,147,200,204,184,151,-0.08,-0.37,127.84,0.10,-0.12,1.00,0.49,1.89,-0.49,-6.48,-5.44,-6.17,,,0
543748220,0,205,204,147,200,204,184,156,-0.08,-0.37,123.59,0.09,-0.12,1.00,-1.89,3.78,-0.37,-6.42,-5.22,-6.17,,,0
543848216,0,204,204,147,200,203,184,154,-2.19,-1.89,123.59,0.08,-0.12,1.00,-1.89,-0.61,0.18,-6.48,-4.99,-6.17,,,0
543948228,0,205,204,147,200,204,184,156,3.07,2.24,132.09,0.09,-0.12,1.00,-0.61,-2.08,-0.12,-6.54,-5.11,-6.17,,,0
544048228,0,205,204,147,200,204,184,157,-0.08,-0.37,131.92,0.10,-0.12,1.00,1.71,-2.44,-0.24,-6.52,-5.34,-6.17,,,0
544148224,0,204,205,148,200,204,184,156,3.07,2.24,132.09,0.10,-0.12,1.00,-0.24,-2.08,-0.31,-6.43,-5.56,-6.17,,,0
544248216,0,204,205,147,200,204,184,150,-0.08,-0.37,123.59,0.10,-0.11,1.00,0.00,-1.16,0.12,-6.48,-5.75,-6.17,,,0
544348228,0,205,204,147,200,204,184,152,2.02,1.82,131.92,0.10,-0.12,1.00,-0.31,-0.49,0.18,-6.50,-5.84,-6.17,,,0
544448216,0,205,204,147,200,204,184,157,-0.08,-0.37,131.92,0.10,-0.12,1.00,0.00,0.49,0.24,-6.50,-5.84,-6.17,,,0
544548224,0,205,205,148,200,204,185,150,-0.08,-0.37,131.41,0.10,-0.11,1.00,-0.06,0.61,-0.18,-6.52,-5.79,-6.17,,,0
544648224,0,205,205,147,200,204,184,160,3.07,2.24,131.41,0.10,-0.11,1.00,1.10,-0.37,-2.14,-6.43,-5.78,-6.22,,,0
544748224,0,204,205,148,200,204,184,152,2.02,1.82,131.92,0.10,-0.10,1.00,0.24,1.46,-3.36,-6.35,-5.75,-6.55,,,0
544848224,0,204,205,147,200,204,185,153,-0.08,-0.37,136.17,0.10,-0.11,1.00,-1.34,-0.73,-1.65,-6.39,-5.70,-6.82,,,0
544948236,0,205,206,147,201,204,184,153,3.07,2.24,140.93,0.10,-0.12,1.00,-1.04,-1.59,-0.37,-6.53,-5.80,-6.89,,,0
545048224,0,205,205,147,200,204,185,156,5.18,2.91,132.60,0.10,-0.11,1.00,-0.79,-2.99,-0.18,-6.59,-6.02,-6.89,,,0
545148236,0,205,205,147,200,204,185,151,2.02,1.82,140.42,0.11,-0.12,0.99,1.22,-4.46,0.24,-6.56,-6.40,-6.84,,,0
545248224,0,204,204,148,200,204,184,154,2.02,1.82,136.17,0.11,-0.12,1.00,0.73,3.17,0.49,-6.47,-6.42,-6.81,,,0
545348220,0,205,205,148,201,204,185,164,-2.19,-1.89,136.17,0.10,-0.11,1.00,0.85,-0.55,0.31,-6.28,-6.26,-6.78,,,0
545448224,0,204,205,147,200,204,184,154,-0.08,-0.37,136.17,0.12,-0.11,0.99,-0.85,-0.37,0.12,-6.24,-6.44,-6.72,,,0
545548224,0,205,205,147,201,205,185,157,-0.08,-0.37,138.38,0.11,-0.12,1.00,-1.95,0.24,0.37,-6.32,-6.38,-6.71,,,0
545648216,0,204,205,148,201,204,185,158,5.18,2.91,132.26,0.12,-0.11,0.99,-0.06,0.37,0.85,-6.43,-6.46,-6.64,,,0
545748228,0,205,205,148,201,205,184,152,-0.08,-0.37,120.70,0.11,-0.12,0.99,-0.06,2.08,1.71,-6.54,-6.29,-6.55,,,0
545848220,0,205,205,148,201,205,185,159,2.02,1.82,124.95,0.11,-0.11,1.00,0.73,2.08,2.14,-6.55,-6.06,-6.37,,,0
