time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
682086412,0,217,217,156,213,218,195,153,5.18,2.91,115.94,0.12,-0.09,0.99,-0.24,-0.61,-0.24,-5.42,-6.94,-11.09,,,0
682226680,0,217,217,156,213,217,196,156,-0.08,-0.37,116.96,0.12,-0.09,0.99,0.73,-0.06,-0.43,-5.37,-6.94,-11.09,,,0
682326696,0,218,217,156,212,216,196,153,-0.08,-0.37,115.94,0.12,-0.09,0.99,-0.49,0.00,0.06,-5.32,-6.94,-11.09,,,0
682426680,0,217,217,156,212,216,195,157,-3.24,-2.30,115.94,0.12,-0.09,0.99,0.00,-0.18,0.00,-5.35,-6.93,-11.09,,,0
682526692,0,217,218,156,212,216,195,151,-3.24,-2.30,121.21,0.12,-0.09,0.99,0.67,-0.55,0.18,-5.33,-6.93,-11.09,,,0
682626680,0,217,217,156,213,217,196,158,-0.08,-0.37,124.27,0.12,-0.09,0.99,1.83,-0.98,-0.37,-5.22,-6.93,-11.09,,,0
682726684,0,217,217,156,213,216,196,149,-2.19,-1.89,120.02,0.12,-0.08,0.99,0.67,-0.06,-0.37,-5.06,-6.96,-11.09,,,0
682826680,0,217,217,157,213,216,196,150,2.02,1.82,121.21,0.12,-0.09,0.99,-1.10,1.34,0.24,-5.09,-6.97,-11.09,,,0
682926680,0,216,216,155,212,216,195,149,2.02,1.82,264.52,0.12,-0.10,1.00,1.40,1.46,-0.18,-5.20,-6.89,-11.09,,,0
683026680,0,216,216,156,212,217,195,154,-3.24,-2.30,248.20,0.13,-0.10,0.99,1.46,-1.40,-0.73,-5.03,-6.92,-11.17,,,0
683126684,0,217,217,156,213,217,196,152,3.07,2.24,125.46,0.13,-0.07,0.98,0.31,-0.31,-1.28,-4.75,-6.95,-11.18,,,0
683226688,0,218,217,156,213,218,196,153,2.02,1.82,116.45,0.14,-0.07,0.98,-6.41,0.12,1.71,-4.83,-6.92,-11.23,,,0
683326688,0,218,217,156,213,218,196,151,-2.19,-1.89,112.37,0.11,-0.10,1.00,-3.42,-1.34,3.17,-5.33,-6.73,-10.94,,,0
683426680,0,217,217,156,213,217,196,153,-0.08,-0.37,116.96,0.11,-0.12,1.00,1.77,0.92,0.98,-5.67,-6.73,-10.72,,,0
683526688,0,217,217,156,213,217,196,146,-3.24,-2.30,119.51,0.12,-0.09,1.00,3.48,-0.92,-1.04,-5.32,-6.72,-10.70,,,0
683626688,0,217,217,156,213,218,196,160,3.07,2.24,119.51,0.12,-0.08,0.99,0.12,-1.46,-0.79,-4.98,-6.87,-10.81,,,0
683726688,0,218,217,156,213,218,196,150,-3.24,-2.30,120.53,0.12,-0.09,0.99,-0.49,-0.37,0.12,-5.02,-6.87,-10.83,,,0
683826684,0,218,217,156,213,217,197,152,-0.08,-0.37,119.51,0.12,-0.08,0.99,-0.37,1.40,-0.67,-4.95,-6.98,-10.83,,,0
683926692,0,218,217,157,213,217,196,153,-2.19,-1.89,119.51,0.13,-0.08,0.99,-0.98,-0.12,-0.37,-4.83,-6.98,-10.78,,,0
684026692,0,218,218,156,214,217,196,150,-3.24,-2.30,121.04,0.12,-0.09,1.00,-0.79,0.61,-0.12,-4.96,-6.95,-10.81,,,0
684126680,0,218,218,157,213,219,196,154,-2.19,-1.89,120.19,0.12,-0.09,0.99,-1.22,0.73,0.37,-5.09,-6.93,-10.83,,,0
684226692,0,218,218,157,213,218,196,150,-3.24,-2.30,120.19,0.13,-0.09,0.99,0.73,-0.37,-0.49,-5.06,-6.94,-10.81,,,0
684326696,0,219,218,157,214,217,197,147,-0.08,-0.37,116.96,0.12,-0.08,0.99,-0.49,-0.37,0.18,-5.03,-6.93,-10.83,,,0
684426688,0,218,218,156,213,217,196,149,2.02,1.82,120.19,0.12,-0.09,0.99,-0.61,-0.79,0.24,-5.16,-6.92,-10.81,,,0
684526692,0,218,217,156,213,217,196,145,-3.24,-2.30,124.27,0.12,-0.09,0.99,1.22,-0.55,0.00,-5.14,-6.92,-10.83,,,0
684626688,0,218,219,157,214,217,196,148,3.07,2.24,116.96,0.12,-0.08,0.99,-0.67,0.92,-0.31,-5.03,-6.91,-10.84,,,0
684726684,0,218,218,157,214,217,196,149,2.02,1.82,114.07,0.12,-0.09,0.99,-1.59,0.49,0.00,-5.16,-6.89,-10.87,,,0
684826684,0,218,218,157,213,218,196,152,-0.08,-0.37,114.07,0.12,-0.10,0.99,-1.59,0.24,0.18,-5.30,-6.86,-10.85,,,0
684926692,0,218,218,158,213,217,196,152,3.07,2.24,110.67,0.12,-0.09,1.00,-0.06,0.06,-0.67,-5.25,-6.84,-10.85,,,0
685026688,0,219,218,157,213,217,196,151,-0.08,-0.37,108.80,0.12,-0.08,0.99,0.12,-0.18,-1.28,-5.17,-6.84,-10.86,,,0
685126688,0,218,218,158,213,218,197,152,-0.08,-0.37,113.90,0.12,-0.08,0.99,-0.12,0.43,-2.44,-5.20,-6.82,-11.07,,,0
685226696,0,218,217,157,213,217,196,150,2.02,1.82,111.18,0.12,-0.09,0.99,-1.28,0.06,-1.83,-5.26,-6.71,-11.33,,,0
685326680,0,218,218,157,214,217,197,153,-0.08,-0.37,114.75,0.11,-0.10,1.00,-0.61,-1.89,2.08,-5.36,-6.72,-11.33,,,0
685426696,0,218,218,157,214,217,197,152,-0.08,-0.37,109.82,0.12,-0.09,0.99,0.92,-0.92,2.50,-5.37,-6.83,-11.03,,,0
685526688,0,219,218,157,214,219,197,145,-3.24,-2.30,112.88,0.13,-0.08,0.99,1.89,-0.98,-0.31,-5.23,-6.87,-10.91,,,0
685626692,0,218,218,157,214,217,196,151,2.02,1.82,108.80,0.12,-0.09,0.99,0.43,-2.20,-1.10,-5.12,-6.82,-11.00,,,0
685726680,0,218,218,157,214,218,197,147,2.02,1.82,113.22,0.11,-0.09,1.00,-1.46,0.79,0.31,-5.10,-6.88,-11.04,,,0
685826692,0,218,218,156,214,219,197,159,3.07,2.24,116.62,0.12,-0.08,0.99,-0.18,-0.06,-0.55,-5.13,-6.89,-11.01,,,0
685926684,0,218,218,157,214,218,197,152,-0.08,-0.37,112.88,0.12,-0.08,0.99,0.24,0.12,-0.06,-5.07,-6.93,-11.03,,,0
686026680,0,219,218,157,214,218,197,149,-0.08,-0.37,120.02,0.12,-0.09,0.99,-0.67,0.12,0.12,-5.05,-6.93,-11.02,,,0
686126684,0,219,218,157,215,218,197,151,3.07,2.24,121.72,0.12,-0.09,0.99,0.00,0.18,0.06,-5.08,-6.95,-11.02,,,0
686226696,0,219,220,157,214,218,197,152,5.18,2.91,124.27,0.12,-0.08,0.99,0.12,0.37,-0.18,-5.08,-6.94,-11.02,,,0
686326684,0,218,219,157,214,218,197,146,3.07,2.24,124.78,0.13,-0.08,0.99,0.61,-0.31,-0.31,-5.04,-6.96,-11.01,,,0
686426684,0,219,218,157,213,218,197,155,3.07,2.24,123.59,0.12,-0.09,0.99,0.49,0.43,0.37,-4.99,-6.96,-11.02,,,0
686526684,0,219,219,157,214,218,197,152,3.07,2.24,123.76,0.12,-0.08,0.99,0.92,-0.24,0.00,-4.92,-6.97,-11.02,,,0
686626692,0,218,219,157,214,218,198,152,2.02,1.82,120.53,0.12,-0.08,0.99,0.12,-0.55,0.00,-4.93,-6.95,-11.01,,,0
686726692,0,219,219,157,214,218,197,149,2.02,1.82,119.51,0.12,-0.09,0.99,-1.22,0.18,0.43,-4.98,-6.97,-11.01,,,0
686826692,0,220,218,157,214,218,198,156,8.33,3.69,124.44,0.12,-0.08,0.99,0.43,-0.43,-0.18,-5.02,-6.97,-11.01,,,0
686926688,0,219,219,157,214,219,198,149,5.18,2.91,121.21,0.13,-0.08,0.99,-1.34,1.16,0.06,-5.03,-6.98,-11.01,,,0
687026688,0,219,219,157,214,219,197,155,3.07,2.24,123.76,0.12,-0.09,0.99,-1.22,1.16,-0.43,-5.12,-6.93,-11.01,,,0
