time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
959804420,0,211,211,152,206,210,269,145,5.18,2.91,177.14,0.15,-0.05,0.98,0.06,0.00,0.00,-2.70,-8.57,-11.93,,,0
959956212,0,211,211,152,207,210,269,150,-2.19,-1.89,181.22,0.15,-0.05,0.98,-0.06,0.00,0.00,-2.70,-8.57,-11.93,,,0
960056224,0,212,211,153,207,208,269,149,2.02,1.82,177.14,0.15,-0.05,0.98,-0.06,0.00,0.00,-2.70,-8.57,-11.93,,,0
960156212,0,211,211,152,208,208,269,145,5.18,2.91,177.14,0.15,-0.05,0.98,0.12,0.00,0.00,-2.70,-8.57,-11.93,,,0
960256224,0,211,211,152,206,209,270,148,2.02,1.82,172.21,0.15,-0.05,0.98,0.00,0.00,0.00,-2.70,-8.57,-11.93,,,0
960356220,0,211,211,152,207,209,269,149,3.07,2.24,177.14,0.15,-0.05,0.98,0.00,0.00,-0.06,-2.70,-8.57,-11.93,,,0
960456224,0,211,211,152,207,210,269,149,2.02,1.82,176.97,0.15,-0.05,0.98,0.00,0.00,0.00,-2.70,-8.57,-11.93,,,0
960556220,0,211,211,152,207,210,269,161,2.02,1.82,177.14,0.15,-0.05,0.98,0.06,0.00,-0.06,-2.70,-8.57,-11.93,,,0
960656224,0,211,211,152,207,210,269,151,-0.08,-0.37,176.97,0.15,-0.05,0.98,0.00,0.00,-0.06,-2.70,-8.57,-11.93,,,0
960756216,0,211,211,152,208,210,270,154,2.02,1.82,176.97,0.15,-0.05,0.98,0.06,-0.06,0.00,-2.70,-8.57,-11.93,,,0
960856224,0,211,211,152,207,210,270,152,3.07,2.24,177.14,0.15,-0.05,0.98,0.06,0.00,0.00,-2.70,-8.57,-11.93,,,0
960956224,0,212,212,153,207,211,269,152,-0.08,-0.37,170.85,0.15,-0.05,0.98,0.00,0.00,0.00,-2.70,-8.57,-11.93,,,0
961056212,0,211,211,153,207,211,269,152,3.07,2.24,168.13,0.15,-0.05,0.98,0.00,0.00,-0.06,-2.70,-8.57,-11.93,,,0
961156216,0,213,211,152,207,211,270,151,3.07,2.24,168.13,0.15,-0.05,0.98,0.00,0.06,-0.06,-2.70,-8.57,-11.93,,,0
